Time: 			 Temperature (C): 	 Altitude (m):
2014:14:13:04:11	-114.12483	205.88723	
2014:14:13:04:11	-112.15595	694.78595	
2014:14:13:04:11	-111.64801	1765.30096	
2014:14:13:04:12	-111.13241	1990.93014	
2014:14:13:04:12	-110.24864	3114.80180	
2014:14:13:04:12	-109.96556	3354.20231	
2014:14:13:04:12	-107.41778	3438.21174	
2014:14:13:04:13	-104.75765	3984.88296	
2014:14:13:04:13	-101.49395	4181.74341	
2014:14:13:04:13	-101.24813	4274.15190	
2014:14:13:04:13	-99.43021	4707.02311	
2014:14:13:04:14	-98.25253	5060.35978	
2014:14:13:04:14	-93.52630	5189.53683	
2014:14:13:04:14	-93.36643	6267.08919	
2014:14:13:04:14	-92.99585	6500.41472	
2014:14:13:04:15	-90.32407	6628.87368	
2014:14:13:04:15	-90.27194	6906.91550	
2014:14:13:04:15	-89.10333	7167.38464	
2014:14:13:04:15	-87.65629	7207.63085	
2014:14:13:04:16	-87.51116	7387.70669	
2014:14:13:04:16	-86.50632	7874.76238	
2014:14:13:04:16	-86.42935	8279.34251	
2014:14:13:04:16	-85.41023	8308.76395	
2014:14:13:04:17	-85.17425	8995.62857	
2014:14:13:04:17	-85.12897	9195.42179	
2014:14:13:04:17	-84.48895	9278.88864	
2014:14:13:04:17	-82.43373	9835.87828	
2014:14:13:04:18	-80.27399	9996.33133	
2014:14:13:04:18	-80.22134	10007.53013	
2014:14:13:04:18	-78.36369	10667.75698	
2014:14:13:04:18	-76.72916	10821.93678	
2014:14:13:04:19	-76.36618	11301.17228	
2014:14:13:04:19	-74.98421	11351.34833	
2014:14:13:04:19	-73.74027	11505.71173	
2014:14:13:04:19	-69.44933	11565.71138	
2014:14:13:04:20	-69.34211	11856.98174	
2014:14:13:04:20	-69.30180	12061.27236	
2014:14:13:04:20	-68.53807	12859.90266	
2014:14:13:04:20	-68.37802	12924.90629	
2014:14:13:04:21	-68.29705	13552.22915	
2014:14:13:04:21	-67.62879	13987.37002	
2014:14:13:04:21	-64.06883	14150.41261	
2014:14:13:04:21	-63.89394	14657.77372	
2014:14:13:04:22	-63.73206	14819.43903	
2014:14:13:04:22	-60.44342	15252.15967	
2014:14:13:04:22	-60.02930	15634.07867	
2014:14:13:04:22	-53.46817	15658.66351	
2014:14:13:04:23	-53.30668	16018.23727	
2014:14:13:04:23	-52.67792	16409.19184	
2014:14:13:04:23	-51.87022	16660.87038	
2014:14:13:04:23	-51.47451	16747.71149	
2014:14:13:04:24	-50.32768	16924.96462	
2014:14:13:04:24	-48.54621	17062.95115	
2014:14:13:04:24	-46.90773	17098.39140	
2014:14:13:04:24	-46.79571	18538.27107	
2014:14:13:04:25	-45.05541	18629.15180	
2014:14:13:04:25	-43.08362	19350.86386	
2014:14:13:04:25	-42.34696	19386.38931	
2014:14:13:04:25	-40.03505	19424.76825	
2014:14:13:04:26	-39.29211	20206.02294	
2014:14:13:04:26	-37.30930	20352.67769	
2014:14:13:04:26	-34.45076	20370.44680	
2014:14:13:04:26	-34.15456	20405.57031	
2014:14:13:04:27	-30.51542	20573.17673	
2014:14:13:04:27	-29.58453	20582.02301	
2014:14:13:04:27	-28.25729	20605.55207	
2014:14:13:04:27	-27.98389	21547.22450	
2014:14:13:04:28	-27.28050	21820.21543	
2014:14:13:04:28	-27.05186	22123.49580	
2014:14:13:04:28	-24.86811	22203.15524	
2014:14:13:04:28	-24.16556	22561.86210	
2014:14:13:04:29	-21.15709	22969.53468	
2014:14:13:04:29	-21.10606	22981.08937	
2014:14:13:04:29	-20.37492	23455.05666	
2014:14:13:04:29	-17.83687	23906.08690	
2014:14:13:04:30	-17.45654	24046.54417	
2014:14:13:04:30	-16.54613	24056.48033	
2014:14:13:04:30	-13.41628	24108.26638	
2014:14:13:04:30	-13.28222	24331.91916	
2014:14:13:04:31	-11.43866	24348.81051	
2014:14:13:04:31	 -9.21928	24569.32951	
2014:14:13:04:31	 -8.39873	24601.17919	
2014:14:13:04:31	 -8.21534	24918.74048	
2014:14:13:04:32	 -7.02845	25175.19796	
2014:14:13:04:32	 -5.76149	25186.63947	
2014:14:13:04:32	 -5.17614	25772.97785	
2014:14:13:04:32	 -4.11294	25854.30412	
2014:14:13:04:33	  0.79717	25889.38686	
2014:14:13:04:33	  1.38579	26926.58631	
2014:14:13:04:33	  2.99585	27185.03562	
2014:14:13:04:33	  4.96832	27583.98996	
2014:14:13:04:34	  5.38940	27637.93730	
2014:14:13:04:34	  6.28644	28354.17474	
2014:14:13:04:34	  8.77747	28937.95663	
2014:14:13:04:34	  9.16028	29497.08166	
2014:14:13:04:35	 10.25116	29559.20597	
2014:14:13:04:35	 15.37233	29753.15519	
2014:14:13:04:35	 16.40046	29866.30614	
2014:14:13:04:35	 21.27850	29977.77614	
2014:14:13:04:36	 23.50627	30409.85931	
