2014:14:11:47:46.516	-170,73364	000552,74255	50,54487	
2014:14:11:47:47.016	-166,20843	003813,70494	-6268,91843	
2014:14:11:47:47.517	-165,01764	004213,67056	51,08063	
2014:14:11:47:48.017	-156,60251	004228,31784	52,29952	
2014:14:11:47:48.517	-154,65986	004650,11854	53,67705	
2014:14:11:47:49.018	-154,25053	008758,94514	53,70058	
2014:14:11:47:49.518	-151,54545	008945,93708	55,25844	
2014:14:11:47:50.018	-150,41126	010991,01537	55,27450	
2014:14:11:47:50.519	-141,16070	013188,26473	55,51911	
2014:14:11:47:51.020	-129,62265	013266,37564	55,65648	
2014:14:11:47:51.520	-129,04808	013866,60939	55,71641	
2014:14:11:47:52.020	-128,86012	013888,62388	56,35755	
2014:14:11:47:52.521	-124,49168	014448,25173	6936,38163	
2014:14:11:47:53.021	-123,51992	015797,55621	56,49298	
2014:14:11:47:53.521	-123,06326	019781,80390	57,16390	
2014:14:11:47:54.021	-115,32577	025607,58483	57,36652	
2014:14:11:47:54.522	-112,91851	028377,70656	57,84792	
2014:14:11:47:55.022	-99,76686	029048,04923	58,03679	
2014:14:11:47:55.523	-97,85230	031488,53569	58,63222	
2014:14:11:47:56.023	-97,67624	035064,36835	58,83584	
2014:14:11:47:56.523	-96,25128	035717,15372	59,67941	
2014:14:11:47:57.023	-95,23479	036406,25570	60,73620	
2014:14:11:47:57.524	-87,99980	038816,80987	60,82621	
2014:14:11:47:58.024	-86,84597	042067,89903	61,26840	
2014:14:11:47:58.524	-81,00565	043391,38496	61,50650	
2014:14:11:47:59.024	-80,77924	045125,35440	62,25209	
2014:14:11:47:59.524	-76,89343	048356,88026	63,13627	
2014:14:11:48:00.025	-73,97460	048527,28300	63,42232	
2014:14:11:48:00.526	-67,37720	049201,91998	63,72457	
2014:14:11:48:01.026	-53,04000	051386,03827	63,79526	
2014:14:11:48:01.527	-52,46510	051615,99943	63,84319	
2014:14:11:48:02.027	-47,00480	057350,87842	64,03250	
2014:14:11:48:02.527	-45,31821	059989,83987	64,10793	
2014:14:11:48:03.027	-44,89220	061157,37155	64,92936	
2014:14:11:48:03.527	-36,81339	062711,69575	65,27451	
2014:14:11:48:04.028	-32,47846	062802,25888	65,47198	
2014:14:11:48:04.528	-29,16975	065138,38666	65,51506	
2014:14:11:48:05.029	-21,04202	065599,92018	8267,90235	
2014:14:11:48:05.530	-15,01564	068493,91569	67,26766	
2014:14:11:48:06.030	-13,29288	068900,51177	67,61460	
2014:14:11:48:06.530	-11,66092	069470,49727	-8349,86202	
2014:14:11:48:07.030	-02,72134	069540,91876	68,72697	
2014:14:11:48:07.531	003,37988	070306,74479	70,86708	
2014:14:11:48:08.031	005,05573	075567,40407	71,90687	
2014:14:11:48:08.531	011,98104	076530,30961	72,37195	
2014:14:11:48:09.032	026,54549	079625,30391	72,55937	
2014:14:11:48:09.532	036,50611	079807,96781	73,65082	
2014:14:11:48:10.032	039,87937	080196,67243	73,65908	
2014:14:11:48:10.532	041,27844	081944,04883	73,89030	
2014:14:11:48:11.032	041,33348	082019,23364	74,43351	
2014:14:11:48:11.533	042,83406	082249,05882	75,03019	
2014:14:11:48:12.033	043,02934	086864,27952	75,94080	
2014:14:11:48:12.533	048,52246	090564,50461	76,16852	
2014:14:11:48:13.033	053,63516	091018,17805	76,27690	
2014:14:11:48:13.534	054,10264	092100,21124	76,43638	
2014:14:11:48:14.035	064,37470	092263,94477	76,53446	
2014:14:11:48:14.535	065,42921	093041,00387	-9545,02007	
2014:14:11:48:15.036	065,46582	096407,05584	79,02732	
2014:14:11:48:15.536	066,46574	096883,37306	79,19870	
2014:14:11:48:16.036	074,61814	098693,45634	79,26892	
