2014 01 14::01:04:11:294	-114,12483	000205,88723	50,02075	
2014 01 14::01:04:11:544	-112,15595	000694,78595	50,14359	
2014 01 14::01:04:11:794	-111,64801	001765,30096	50,31793	
2014 01 14::01:04:12:044	-111,13241	001990,93014	50,71190	
2014 01 14::01:04:12:295	-110,24864	003114,80180	50,82830	
2014 01 14::01:04:12:545	-109,96556	003354,20231	51,23815	
2014 01 14::01:04:12:795	-107,41778	003438,21174	51,28196	
2014 01 14::01:04:13:046	-104,75765	003984,88296	51,39750	
2014 01 14::01:04:13:297	-101,49395	004181,74341	51,56296	
2014 01 14::01:04:13:548	-101,24813	004274,15190	51,68162*	
2014 01 14::01:04:13:798	-99,43021	004707,02311	51,80027	
2014 01 14::01:04:14:048	-98,25253	005060,35978	51,88341	
2014 01 14::01:04:14:298	-93,52630	005189,53683	52,14865	
2014 01 14::01:04:14:548	-93,36643	006267,08919	52,72670*	
2014 01 14::01:04:14:798	-92,99585	006500,41472	53,30475	
2014 01 14::01:04:15:049	-90,32407	006628,87368	53,40430	
2014 01 14::01:04:15:299	-90,27194	006906,91550	53,59414	
2014 01 14::01:04:15:549	-89,10333	007167,38464	53,75891	
2014 01 14::01:04:15:799	-87,65629	007207,63085	54,05207	
2014 01 14::01:04:16:049	-87,51116	007387,70669	54,38494	
2014 01 14::01:04:16:299	-86,50632	007874,76238	54,47853	
2014 01 14::01:04:16:550	-86,42935	008279,34251	54,92864	
2014 01 14::01:04:16:800	-85,41023	008308,76395	54,98360	
2014 01 14::01:04:17:051	-85,17425	008995,62857	55,72283	
2014 01 14::01:04:17:301	-85,12897	009195,42179	55,95592	
2014 01 14::01:04:17:551	-84,48895	009278,88864	56,20029	
2014 01 14::01:04:17:801	-82,43373	009835,87828	56,46316	
2014 01 14::01:04:18:052	-80,27399	009996,33133	56,67214	
2014 01 14::01:04:18:302	-80,22134	010007,53013	57,17712	
2014 01 14::01:04:18:552	-78,36369	010667,75698	57,58927	
2014 01 14::01:04:18:803	-76,72916	010821,93678	57,77977	
2014 01 14::01:04:19:053	-76,36618	011301,17228	57,87549	
2014 01 14::01:04:19:303	-74,98421	011351,34833	58,67585	
2014 01 14::01:04:19:553	-73,74027	011505,71173	58,80312	
2014 01 14::01:04:19:803	-69,44933	011565,71138	58,86358*	
2014 01 14::01:04:20:053	-69,34211	011856,98174	58,92404	
2014 01 14::01:04:20:303	-69,30180	012061,27236	59,18026	
2014 01 14::01:04:20:554	-68,53807	012859,90266	59,50269	
2014 01 14::01:04:20:804	-68,37802	012924,90629	59,65826*	
2014 01 14::01:04:21:054	-68,29705	013552,22915	59,81382	
2014 01 14::01:04:21:304	-67,62879	013987,37002	59,88974	
2014 01 14::01:04:21:554	-64,06883	014150,41261	60,37993	
2014 01 14::01:04:21:805	-63,89394	014657,77372	60,86608*	
2014 01 14::01:04:22:055	-63,73206	014819,43903	61,35223	
2014 01 14::01:04:22:305	-60,44342	015252,15967	61,37472	
2014 01 14::01:04:22:555	-60,02930	015634,07867	61,65362	
2014 01 14::01:04:22:805	-53,46817	015658,66351	62,20168	
2014 01 14::01:04:23:055	-53,30668	016018,23727	62,28256	
2014 01 14::01:04:23:305	-52,67792	016409,19184	62,95372*	
2014 01 14::01:04:23:555	-51,87022	016660,87038	62,95372*	
2014 01 14::01:04:23:805	-51,47451	016747,71149	63,62487	
2014 01 14::01:04:24:055	-50,32768	016924,96462	64,36525	
2014 01 14::01:04:24:305	-48,54621	017062,95115	64,40056	
2014 01 14::01:04:24:556	-46,90773	017098,39140	64,40401	
2014 01 14::01:04:24:807	-46,79571	018538,27107	64,60122	
2014 01 14::01:04:25:057	-45,05541	018629,15180	65,36849*	
2014 01 14::01:04:25:308	-43,08362	019350,86386	66,13575	
2014 01 14::01:04:25:558	-42,34696	019386,38931	66,69061	
2014 01 14::01:04:25:808	-40,03505	019424,76825	66,86700	
2014 01 14::01:04:26:059	-39,29211	020206,02294	67,87370	
2014 01 14::01:04:26:309	-37,30930	020352,67769	68,33342	
2014 01 14::01:04:26:559	-34,45076	020370,44680	68,74116	
2014 01 14::01:04:26:809	-34,15456	020405,57031	69,48882	
2014 01 14::01:04:27:059	-30,51542	020573,17673	69,66595	
2014 01 14::01:04:27:309	-29,58453	020582,02301	69,73458	
2014 01 14::01:04:27:560	-28,25729	020605,55207	70,35280	
2014 01 14::01:04:27:810	-27,98389	021547,22450	70,88406	
2014 01 14::01:04:28:060	-27,28050	021820,21543	71,13435	
2014 01 14::01:04:28:310	-27,05186	022123,49580	71,23556	
2014 01 14::01:04:28:560	-24,86811	022203,15524	71,75847*	
2014 01 14::01:04:28:810	-24,16556	022561,86210	72,28139	
2014 01 14::01:04:29:060	-21,15709	022969,53468	72,36851	
2014 01 14::01:04:29:310	-21,10606	022981,08937	72,43834	
2014 01 14::01:04:29:560	-20,37492	023455,05666	72,87315	
2014 01 14::01:04:29:811	-17,83687	023906,08690	73,05554*	
2014 01 14::01:04:30:061	-17,45654	024046,54417	73,23793	
2014 01 14::01:04:30:311	-16,54613	024056,48033	73,46608	
2014 01 14::01:04:30:561	-13,41628	024108,26638	73,52274	
2014 01 14::01:04:30:812	-13,28222	024331,91916	73,72861	
2014 01 14::01:04:31:062	-11,43866	024348,81051	74,02909	
2014 01 14::01:04:31:312	-09,21928	024569,32951	74,04546	
2014 01 14::01:04:31:562	-08,39873	024601,17919	74,35349	
2014 01 14::01:04:31:812	-08,21534	024918,74048	75,00562	
2014 01 14::01:04:32:062	-07,02845	025175,19796	75,16140*	
2014 01 14::01:04:32:313	-05,76149	025186,63947	75,31717	
2014 01 14::01:04:32:563	-05,17614	025772,97785	75,45234	
2014 01 14::01:04:32:813	-04,11294	025854,30412	75,45244	
2014 01 14::01:04:33:064	000,79717	025889,38686	75,52943	
2014 01 14::01:04:33:314	001,38579	026926,58631	76,08575*	
2014 01 14::01:04:33:564	002,99585	027185,03562	76,64207	
2014 01 14::01:04:33:815	004,96832	027583,98996	76,66965	
2014 01 14::01:04:34:065	005,38940	027637,93730	76,76768	
2014 01 14::01:04:34:315	006,28644	028354,17474	76,98630	
2014 01 14::01:04:34:565	008,77747	028937,95663	77,52150	
2014 01 14::01:04:34:815	009,16028	029497,08166	77,64513	
2014 01 14::01:04:35:065	010,25116	029559,20597	77,66271	
2014 01 14::01:04:35:315	015,37233	029753,15519	77,71095	
2014 01 14::01:04:35:565	016,40046	029866,30614	78,49934	
2014 01 14::01:04:35:815	021,27850	029977,77614	79,13014	
2014 01 14::01:04:36:065	023,50627	030409,85931	79,72476	
