2014:14:11:47:46.516	-173,91015	000420,89980	50,19282	
2014:14:11:47:47.016	-173,66282	002240,06033	51,36796	
2014:14:11:47:47.517	-169,91695	002979,85207	52,29370	
2014:14:11:47:48.017	-167,88967	005309,74952	53,13970	
2014:14:11:47:48.517	-167,83291	006824,69843	-6558,42075	
2014:14:11:47:49.018	-135,58649	008303,14013	6582,27295	
2014:14:11:47:49.518	-128,83357	009122,95733	53,58740	
2014:14:11:47:50.018	-125,58107	009908,59247	53,80135	
2014:14:11:47:50.519	-124,30222	010470,19521	53,99129	
2014:14:11:47:51.020	-119,91460	010586,50266	54,03620	
2014:14:11:47:51.520	-119,21369	011545,06578	54,27895	
2014:14:11:47:52.020	-113,75416	011673,34130	54,46484	
2014:14:11:47:52.521	-109,41924	012813,53152	54,89897	
2014:14:11:47:53.021	-107,61130	014037,82453	55,03260	
2014:14:11:47:53.521	-101,06557	019963,73631	55,22473	
2014:14:11:47:54.021	-99,74102	020096,22778	55,30809	
2014:14:11:47:54.522	-98,20997	024779,16646	55,52907	
2014:14:11:47:55.022	-93,42999	025518,36695	55,57278	
2014:14:11:47:55.523	-92,12190	028521,57362	55,93828	
2014:14:11:47:56.023	-82,68085	031718,31706	56,04719	
2014:14:11:47:56.523	-81,70416	032811,96006	56,04784	
2014:14:11:47:57.023	-73,56947	033085,16371	56,88548	
2014:14:11:47:57.524	-71,81052	035118,24079	-861821,36102	
2014:14:11:47:58.024	-62,33877	037083,05045	57,28465	
2014:14:11:47:58.524	-60,56954	039050,15463	7082,14230	
2014:14:11:47:59.024	-58,30104	043239,38232	58,10213	
2014:14:11:47:59.524	-57,23475	044228,37024	58,19242	
2014:14:11:48:00.025	-40,32584	044660,45152	7158,20596	
2014:14:11:48:00.526	-39,14845	045007,41341	58,35424	
2014:14:11:48:01.026	-38,24140	045526,10497	59,09698	
2014:14:11:48:01.527	-37,81526	045696,56079	59,64588	
2014:14:11:48:02.027	-36,51853	046059,37875	61,55562	
2014:14:11:48:02.527	-35,65113	046530,33479	62,08392	
2014:14:11:48:03.027	-34,57093	053293,89974	63,62519	
2014:14:11:48:03.527	-32,09846	053720,41766	63,66177	
2014:14:11:48:04.028	-21,62539	054627,81534	64,44111	
2014:14:11:48:04.528	-16,70763	055335,50773	66,02047	
2014:14:11:48:05.029	-11,79560	059124,20897	8353,01983	
2014:14:11:48:05.530	-06,71291	059827,78789	68,06728	
2014:14:11:48:06.030	-06,02990	063081,66599	68,96452	
2014:14:11:48:06.530	-03,29579	063472,34130	69,10489	
2014:14:11:48:07.030	004,69607	067248,75941	69,46569	
2014:14:11:48:07.531	012,20408	067771,99580	69,77015	
2014:14:11:48:08.031	014,05208	069683,98998	71,04163	
2014:14:11:48:08.531	025,75943	070296,40909	72,05399	
2014:14:11:48:09.032	026,09066	070826,22830	72,21483	
2014:14:11:48:09.532	040,90544	073444,51998	72,38745	
2014:14:11:48:10.032	043,96617	074167,69565	72,74860	
2014:14:11:48:10.532	046,81665	075901,66534	73,37138	
2014:14:11:48:11.032	047,13734	078085,47707	76,16577	
2014:14:11:48:11.533	049,53374	078365,84186	9419,59675	
2014:14:11:48:12.033	049,82451	080120,88857	77,35052	
2014:14:11:48:12.533	051,22852	080632,42817	77,42610	
2014:14:11:48:13.033	053,19261	081933,42815	79,02575	
2014:14:11:48:13.534	055,24215	084634,59532	79,04863	
2014:14:11:48:14.035	058,93825	097533,16443	79,29189	
2014:14:11:48:14.535	062,72563	097555,86683	79,43621	
2014:14:11:48:15.036	068,55037	098366,77907	79,55675	
2014:14:11:48:15.536	070,39985	099865,12652	79,62070	
2014:14:11:48:16.036	074,94775	099964,06127	79,64264	
